BL record ID,Type of resource,Content type,Material type,Name,Dates associated with name,Type of name,All names,Title,Country of publication,Place of publication,Publisher,Date,Page Count,BL shelfmark,Citations
2135142,Monographic component part,Language material ; Text,Volume,,,,,"Les Manuscrits de Léonard de Vinci ... Fac-similés ... avec transcription littérale, traduction française, préface et table méthodique par M. Charles Revaisson-Mollien, etc. 1. Le Manuscrit A de la Bibliothèque de l'Institut. 1881",,,,,45,RF.2008.b.52,19
2135143,Monographic component part,Language material ; Text,Volume,,,,,"Les Manuscrits de Léonard de Vinci ... Fac-similés ... avec transcription littérale, traduction française, préface et table méthodique par M. Charles Revaisson-Mollien, etc. 2. Les Manuscrits B & D de la Bibliothèque de l'Institut. 1883",,,,,23,RF.2008.b.52,13
2135144,Monographic component part,Language material ; Text,Volume,,,,,"Les Manuscrits de Léonard de Vinci ... Fac-similés ... avec transcription littérale, traduction française, préface et table méthodique par M. Charles Revaisson-Mollien, etc. 3. Manuscrits C, E & K de la Bibliothèque de l'Institut. 1888",,,,,56,RF.2008.b.52,10
2135145,Monographic component part,Language material ; Text,Volume,,,,,"Les Manuscrits de Léonard de Vinci ... Fac-similés ... avec transcription littérale, traduction française, préface et table méthodique par M. Charles Revaisson-Mollien, etc. 4. Manuscrits F & I de la Bibliothèque de l'Institut. 1889",,,,,36,RF.2008.b.52,3
2135146,Monographic component part,Language material ; Text,Volume,,,,,"Les Manuscrits de Léonard de Vinci ... Fac-similés ... avec transcription littérale, traduction française, préface et table méthodique par M. Charles Revaisson-Mollien, etc. 5. Manuscrits G, L & M de la Bibliothèque de l'Institut. 1890",,,,,36,RF.2008.b.52,41
2135147,Monographic component part,Language material ; Text,Volume,,,,,"Les Manuscrits de Léonard de Vinci ... Fac-similés ... avec transcription littérale, traduction française, préface et table méthodique par M. Charles Revaisson-Mollien, etc. 6. Manuscrits H de la Bibliothèque de l'Institut, Ash. 2038 et 2037 de la Bibliothèque Nationale. 1891",,,,,36,RF.2008.b.52,3
2135148,Monograph,Language material ; Text,Volume,,,,"Piumati, Giovanni [person] ; Sabachnikov, Thedor Vasilevich [person] ; Duval, Mathias [person] ; Ravaisson-Mollien, Charles [person]","I Manoscritti di Leonardo da Vinci, etc",,Parigi,,1893,36,K.T.C.24.b.5,39
2135149,Monographic component part,Language material ; Text,Volume,,,,,"I Manoscritti di Leonardo da Vinci, etc. Codice sul volo degli uccelli [in the Biblioteca Reale, Turin] e varie altre materie. Pubblicato da Teodoro Sabachnikoff. Trascrizioni e note di Giovanni Piumati. Traduzione in lingua francese di Carlo Ravaisson-Mollien. pp. 156. Parigi, 1893",,,,,65,RB.31.c.858 ; RF.2008.b.58,21
2135150,Monographic component part,Language material ; Text,Volume,,,,,"I Manoscritti di Leonardo da Vinci, etc. I Manoscritti di Leonardo da Vinci della Reale Biblioteca di Windsor. Dell'anatomia fogli A  . Pubblicati da Teodoro Sabachnikoff. Transcritti [sic] e annotati da Giovanni Piumati, con traduzione in lingua francese. Preceduti da uno studio di Mathias-Duval. 2 vol. Parigi, 1898, 1901",,,,,65,RF.2008.b.66,42
2135151,Monograph,Language material ; Text,Volume,,,,"Toni, Nando de [person] ; Corbeau, André, Secrétaire Général de l'Institut Leonard de Vinci [person] ; Authier, Francis [person]",Manuscrit B  de l'Institut de France. Traduction française de Francis Authier ... Transcriptions du Dr Ing. Nando de Toni ... Introduction d'André Corbeau [With a facsimile of the manuscript.],,Grenoble,,1960,65,MS.Facs.588,4
2135152,Monograph,Language material ; Text,Volume,,,,"Toni, Nando de [person] ; Corbeau, André, Secrétaire Général de l'Institut Leonard de Vinci [person]",Manuscrit C  de l'Institut de France. Introduction et traduction française d'André Corbeau ... Transcriptions du Dr Ing. Nando de Toni [With a facsimile of the manuscript.],,Grenoble,,1964,65,MS.Facs.588. ,13
2135153,Monograph,Language material ; Text,Volume,,,,"Toni, Nando de [person] ; Corbeau, André, Secrétaire Général de l'Institut Leonard de Vinci [person]",Manuscrit D.  de l'Institut de France. Introduction et traduction française d'André Corbeau ... Transcriptions du Dr Ing. Nando de Toni [With a facsimile of the manuscript.],,Grenoble,,1964,456,MS.Facs.588. ,44
2135154,Monograph,Language material ; Text,Volume,,,,"Maccurdy, Edward [person]",Leonardo da Vinci's Note-Books. Arranged and rendered into English with introductions by Edward McCurdy [With plates.],England,London,Duckworth,1906,456,D-07808.g.11,43
2135155,Monograph,Language material ; Text,Volume,,,,"Maccurdy, Edward [person]",The Thoughts of Leonardo da Vinci as recorded in his 'Note-Books.' Arranged and rendered into English by Edward McCurdy [Selections.],England,London,Duckworth,1907,345,07807.e.10,39
2135156,Monograph,Language material ; Text,Volume,,,,"Maccurdy, Edward [person]","The Notebooks of Leonardo da Vinci. Arranged, rendered into English and introduced by Edward MacCurdy [With plates, including portraits.]",England,London,Jonathan Cape,1938,42,7812.r.9,15
2135157,Monograph,Language material ; Text,Volume,,,,"Richter, Irma Anne [person]","Selections from the Notebooks of Leonardo da Vinci. Edited, with commentaries, by Irma A. Richter [With illustrations.]",England,London,Oxford University Press,1952,45,012209.df.406,43
2135158,Monograph,Language material ; Text,Volume,,,,"Taylor, Pamela [person]",The Notebooks of Leonardo da Vinci. A new selection by Pamela Taylor,United States of America,New York,New American Library,1960,534,10865.ee.2,32
2135159,Monograph,Language material ; Text,Volume,,,,"Ypes, Catharina [person]",Gedachten. ,,Amsterdam,C. G. A. Corvey Papiergroothandel,1966,34,Cup.510.gd.19/45,24
2135160,Monograph,Language material ; Text,Volume,,,,"Péladan, Josephin Aimé [person]","Léonard de Vinci. Textes choisis. Pensées, théories, préceptes, fables et facéties. Traduits dans leur ensemble pour la première fois d'après les manuscrits originaux et mis en ordre méthodique avec une introduction par Péladan. Avec un portrait et XXXI fac-similés",,Paris,,1907,384,12227.cc.7,18
2135161,Monograph,Language material ; Text,Volume,,,,"Péladan, Josephin Aimé [person]",Les Manuscrits de Léonard de Vinci. Les 14 manuscrits de l'Institut de France. Extraits et description [By Josephin A. Peladan.],,Paris,,1910,56,X.429/1913,13
